Feature block,Prompt,Best model,N features,CV RMSE,Hold-out RMSE,CV R2,Hold-out R2,CV MAE,Hold-out MAE
Traditional LA only,-,Ridge,48,15.407 ± 1.504,20.812,0.361 ± 0.106,0.018,12.373 ± 1.110,12.602
Traditional LA + Structural,-,Random Forest,156,15.840 ± 1.229,15.985,0.327 ± 0.079,0.42,12.200 ± 0.924,11.33
Traditional LA + LLM,prompt_0_minimal,Gradient Boosting,102,15.810 ± 1.357,16.759,0.329 ± 0.087,0.363,12.476 ± 1.012,11.696
Traditional LA + LLM,prompt_1_structured,Random Forest,102,15.785 ± 1.327,15.957,0.332 ± 0.082,0.422,12.204 ± 1.088,11.396
Traditional LA + LLM,prompt_2_rubric,Random Forest,102,15.898 ± 1.378,15.921,0.323 ± 0.081,0.425,12.301 ± 1.118,11.411
Traditional LA + Structural + LLM,prompt_0_minimal,Random Forest,210,15.806 ± 1.247,16.063,0.330 ± 0.081,0.415,12.190 ± 0.935,11.206
Traditional LA + Structural + LLM,prompt_1_structured,Random Forest,210,15.836 ± 1.223,16.083,0.327 ± 0.082,0.413,12.211 ± 0.877,11.393
Traditional LA + Structural + LLM,prompt_2_rubric,Random Forest,210,15.836 ± 1.233,16.059,0.327 ± 0.082,0.415,12.207 ± 0.883,11.389
Structural only,-,Random Forest,108,16.480 ± 1.246,16.273,0.270 ± 0.096,0.399,12.685 ± 0.841,11.625
LLM only,prompt_0_minimal,Random Forest,54,18.185 ± 1.391,20.561,0.112 ± 0.121,0.041,14.297 ± 1.131,14.586
LLM only,prompt_1_structured,Random Forest,54,18.473 ± 1.471,20.222,0.085 ± 0.104,0.072,14.544 ± 1.151,14.414
LLM only,prompt_2_rubric,SVR,54,19.083 ± 1.393,20.221,0.028 ± 0.041,0.073,15.221 ± 1.113,15.035
