checkpoint,checkpoint_value,feature_subblock,total_importance,mean_importance,n_features
20%,0.2,Activity and attempts,51.25606238928048,2.6976874941726567,19
20%,0.2,Compilation behaviour,13.393399917879425,2.678679983575885,5
20%,0.2,Problem performance,32.83378128860783,3.6481979209564255,9
20%,0.2,Regularity and inactivity,9.846104349213947,1.9692208698427893,5
20%,0.2,Temporal phase,7.188971653689296,0.7987746281876995,9
20%,0.2,Traditional LA other,1.611652225243418,1.611652225243418,1
40%,0.4,Activity and attempts,50.67860257486109,2.66729487236111,19
40%,0.4,Compilation behaviour,16.875622935601857,3.3751245871203714,5
40%,0.4,Problem performance,42.06508904236793,4.673898782485326,9
40%,0.4,Regularity and inactivity,6.1560767974929504,1.2312153594985902,5
40%,0.4,Temporal phase,16.952855718551188,1.8836506353945763,9
40%,0.4,Traditional LA other,1.0323275962332448,1.0323275962332448,1
60%,0.6,Activity and attempts,30.523131836517468,1.6064806229746036,19
60%,0.6,Compilation behaviour,21.79413480580652,4.358826961161304,5
60%,0.6,Problem performance,26.632027791961267,2.9591141991068075,9
60%,0.6,Regularity and inactivity,8.936252211325424,1.7872504422650848,5
60%,0.6,Temporal phase,21.249098625569026,2.3610109583965584,9
60%,0.6,Traditional LA other,2.0712105686860487,2.0712105686860487,1
80%,0.8,Activity and attempts,36.674526519612286,1.9302382378743308,19
80%,0.8,Compilation behaviour,27.74516084360449,5.549032168720898,5
80%,0.8,Problem performance,34.740095070292355,3.860010563365817,9
80%,0.8,Regularity and inactivity,7.1870288282029176,1.4374057656405834,5
80%,0.8,Temporal phase,15.46234938640221,1.7180388207113566,9
80%,0.8,Traditional LA other,2.6041234285620463,2.6041234285620463,1
100%,1.0,Activity and attempts,56.42740440986104,2.9698633899926863,19
100%,1.0,Compilation behaviour,30.20386200479357,6.040772400958714,5
100%,1.0,Problem performance,42.55765521117396,4.728628356797106,9
100%,1.0,Regularity and inactivity,8.438968662426866,1.6877937324853733,5
100%,1.0,Temporal phase,21.40956720262687,2.3788408002918744,9
100%,1.0,Traditional LA other,1.6154778322880656,1.6154778322880656,1
