feature,feature_block,feature_subblock,n_appearances,mean_importance,max_importance
n_compile_success_total,Traditional LA,Compilation behaviour,5,0.02418459080923735,0.029554707076020766
code_n_semicolons_mean,Structural code,Structural code,5,0.016288766735607207,0.020927686104118416
code_has_loop_mean,Structural code,Structural code,4,0.027591277708009385,0.03205451335784067
n_problems_attempted,Traditional LA,Problem performance,4,0.027112499931102506,0.042214383839591176
code_n_assignments_mean,Structural code,Structural code,4,0.023556364984883046,0.03114618209957919
code_n_loops_mean,Structural code,Structural code,3,0.0211373683580237,0.027765058441390517
code_has_loop_std,Structural code,Structural code,3,0.02054762803298811,0.02276647799476675
correct_rate_change_late_early,Traditional LA,Temporal phase,3,0.019115186838084445,0.028348481409114317
compile_success_rate,Traditional LA,Compilation behaviour,3,0.017320621416920343,0.01930568538346933
compile_error_rate,Traditional LA,Compilation behaviour,3,0.0165757431313751,0.02085196625376667
code_n_loops_std,Structural code,Structural code,3,0.015433452357857931,0.017698396171798216
n_solved_problems,Traditional LA,Problem performance,2,0.025712257279377766,0.03447866194482998
n_correct_attempts,Traditional LA,Activity and attempts,2,0.02148885304477612,0.030889125570726074
phase_correct_rate_late,Traditional LA,Temporal phase,2,0.017792202287111848,0.023244067988082862
code_chars_mean,Structural code,Structural code,2,0.014556539473160452,0.014657947156017231
max_gap_hours,Traditional LA,Regularity and inactivity,2,0.014199231159664032,0.01692000520687862
score_change_late_early,Traditional LA,Temporal phase,2,0.01371247135243992,0.015017303940204198
code_n_boolean_ops_mean,Structural code,Structural code,2,0.01361127850078787,0.014343958894841018
std_score_attempt,Traditional LA,Activity and attempts,2,0.013329789572991862,0.013608474687697743
code_n_for_mean,Structural code,Structural code,1,0.018671497410505722,0.018671497410505722
last_attempt_day_from_start,Traditional LA,Activity and attempts,1,0.017035401687109906,0.017035401687109906
mean_gap_hours,Traditional LA,Regularity and inactivity,1,0.014873226583178956,0.014873226583178956
code_n_assignments_std,Structural code,Structural code,1,0.014630770273780383,0.014630770273780383
code_avg_line_length_change_last_first,Structural code,Structural code,1,0.01421509163146676,0.01421509163146676
n_assignments_attempted,Traditional LA,Activity and attempts,1,0.013451823347169357,0.013451823347169357
code_n_boolean_ops_std,Structural code,Structural code,1,0.013411900361991537,0.013411900361991537
n_first_attempt_correct,Traditional LA,Problem performance,1,0.013277227397116648,0.013277227397116648
phase_mean_score_late,Traditional LA,Temporal phase,1,0.01296946818959948,0.01296946818959948
code_n_return_mean,Structural code,Structural code,1,0.012513046378441958,0.012513046378441958
attempts_per_active_day,Traditional LA,Activity and attempts,1,0.012286103900946,0.012286103900946
code_n_semicolons_std,Structural code,Structural code,1,0.012254691270199987,0.012254691270199987
code_brace_balance_mean,Structural code,Structural code,1,0.012176005450142784,0.012176005450142784
correct_attempt_rate,Traditional LA,Activity and attempts,1,0.012168550100132893,0.012168550100132893
code_n_for_std,Structural code,Structural code,1,0.012127123626078441,0.012127123626078441
code_avg_line_length_last,Structural code,Structural code,1,0.01193603454818538,0.01193603454818538
code_has_conditional_mean,Structural code,Structural code,1,0.011663166274270277,0.011663166274270277
solve_rate,Traditional LA,Problem performance,1,0.011338811930058706,0.011338811930058706
n_compile_events_total,Traditional LA,Compilation behaviour,1,0.011024450793335213,0.011024450793335213
